NO,식품명,식품대분류,식품상세분류
1,메밀전병,곡류 및 서류,곡류 및 서류
2,수수부꾸미,곡류 및 서류,곡류 및 서류
3,약식,곡류 및 서류,곡류 및 서류
4,경단(깨),곡류 및 서류,떡류
5,경단(콩),곡류 및 서류,떡류
6,기피편,곡류 및 서류,떡류
7,녹두시루떡,곡류 및 서류,떡류
8,무지개떡,곡류 및 서류,떡류
9,송편(깨),곡류 및 서류,떡류
10,송편(콩),곡류 및 서류,떡류
11,수수팥떡,곡류 및 서류,떡류
12,시루떡,곡류 및 서류,떡류
13,쑥떡,곡류 및 서류,떡류
14,절편,곡류 및 서류,떡류
15,찹쌀떡,곡류 및 서류,떡류
16,마떡,곡류 및 서류,떡류
17,치즈마떡,곡류 및 서류,떡류
18,가래떡,곡류 및 서류,떡류
19,깨송편,곡류 및 서류,떡류
20,꿀떡,곡류 및 서류,떡류
21,모듬찰떡,곡류 및 서류,떡류
22,백설기,곡류 및 서류,떡류
23,쑥절편,곡류 및 서류,떡류
24,인절미,곡류 및 서류,떡류
25,증편,곡류 및 서류,떡류
26,참깨경단,곡류 및 서류,떡류
27,팥시루떡,곡류 및 서류,떡류
28,팥찹쌀떡,곡류 및 서류,떡류
29,제주도 빙떡 & 귤간장소스,곡류 및 서류,떡류
30,코코스페셜호두과자,과자류,기타 과자류
31,선물용 대,과자류,기타 과자류
32,선물용 중,과자류,기타 과자류
33,선물용 소,과자류,기타 과자류
34,미니케이스 럭셔리,과자류,기타 과자류
35,미니케이스 대,과자류,기타 과자류
36,미니케이스 소,과자류,기타 과자류
37,레드컵,과자류,기타 과자류
38,초코컵,과자류,기타 과자류
39,프리백,과자류,기타 과자류
40,간식용11개,과자류,기타 과자류
41,간식용19개,과자류,기타 과자류
42,간식용38개,과자류,기타 과자류
43,단체간식용 호두과자,과자류,기타 과자류
44,망고 마카롱,과자류,기타 과자류
45,초코 마카롱,과자류,기타 과자류
46,딸기 마카롱,과자류,기타 과자류
47,피스타치오 마카롱,과자류,기타 과자류
48,카라멜 마카롱,과자류,기타 과자류
49,유자 레몬 마카롱,과자류,기타 과자류
50,마다가스카르 바닐라 마카롱,과자류,기타 과자류
51,초코롱 프랄리네,과자류,기타 과자류
52,초코롱 바닐라,과자류,기타 과자류
53,초코롱 피스타치오,과자류,기타 과자류
54,초코롱 오렌지,과자류,기타 과자류
55,초코롱 산딸기,과자류,기타 과자류
56,초코롱 바나나,과자류,기타 과자류
57,산딸기 마카롱,과자류,기타 과자류
58,로즈베리 생크림,과자류,기타 과자류
59,그린티 마카롱,과자류,기타 과자류
60,벨지안 초콜릿 마카롱,과자류,기타 과자류
61,블루베리 마카롱,과자류,기타 과자류
62,딸기 마카롱,과자류,기타 과자류
63,바닐라 마카롱,과자류,기타 과자류
64,초코 마카롱,과자류,기타 과자류
65,블루베리 마카롱,과자류,기타 과자류
66,뛰일 아몬드,과자류,기타 과자류
67,마카롱,과자류,기타 과자류
68,다크 초콜릿 마카롱,과자류,기타 과자류
69,바닐라 마카롱,과자류,기타 과자류
70,블루베리 마카롱,과자류,기타 과자류
71,스트로베리 마카롱,과자류,기타 과자류
72,우도 땅콩 다쿠아즈,과자류,기타 과자류
73,제주 녹차 다쿠아즈,과자류,기타 과자류
74,카라멜 스틱,과자류,기타 과자류
75,이디야키즈 유기농 곡물바 딸기,과자류,기타 과자류
76,미니 코코 크런치,과자류,기타 과자류
77,얼그레이 초코 마카롱,과자류,기타 과자류
78,바닐라 빈 마카롱,과자류,기타 과자류
79,솔티카라멜 마카롱,과자류,기타 과자류
80,라즈베리 마카롱,과자류,기타 과자류
81,솔티카라멜 다쿠아즈,과자류,기타 과자류
82,초코바나나 다쿠아즈,과자류,기타 과자류
83,황금 보리 초코 건빵,과자류,기타 과자류
84,아이스 크로칸 슈,과자류,기타 과자류
85,오후의 마카롱모카,과자류,기타 과자류
86,마카롱모카파티,과자류,기타 과자류
87,화과자명가(대),과자류,기타 과자류
88,바삭한 우리 찹쌀 모나카,과자류,기타 과자류
89,프렌치구움과자,과자류,기타 과자류
90,고메 마카롱 (토마토바질),과자류,기타 과자류
91,고메 마카롱 (꿀자몽),과자류,기타 과자류
92,고메 마카롱 (망고패션코코),과자류,기타 과자류
93,민트머랭,과자류,기타 과자류
94,딸기 마카롱,과자류,기타 과자류
95,초코 마카롱,과자류,기타 과자류
96,바닐라 마카롱,과자류,기타 과자류
97,블루베리 마카롱,과자류,기타 과자류
98,유자 마카롱,과자류,기타 과자류
99,그랑데마카롱 산딸기,과자류,기타 과자류
100,그랑데마카롱 바닐라카라멜,과자류,기타 과자류
101,그랑데마카롱 패션후르츠,과자류,기타 과자류
102,소피아토 웨이퍼 롤스 113g,과자류,기타 과자류
103,소피아토 웨이퍼 롤스 38g,과자류,기타 과자류
104,딸기머랭,과자류,기타 과자류
105,코코넛머랭,과자류,기타 과자류
106,레몬머랭,과자류,기타 과자류
107,유자레몬마카롱,과자류,기타 과자류
108,더블초코마카롱,과자류,기타 과자류
109,솔티드카라멜마카롱,과자류,기타 과자류
110,몽블랑 마카롱,과자류,기타 과자류
111,티라미수 마카롱,과자류,기타 과자류
112,마카롱 판타지아,과자류,기타 과자류
113,바닐라마카롱,과자류,기타 과자류
114,패션마카롱,과자류,기타 과자류
115,산딸기마카롱,과자류,기타 과자류
116,블루베리마카롱,과자류,기타 과자류
117,녹차마카롱,과자류,기타 과자류
118,초코마카롱,과자류,기타 과자류
119,요거트 웨이퍼샌드,과자류,기타 과자류
120,라즈베리 웨이퍼샌드,과자류,기타 과자류
121,통단팥 국화모니카,과자류,기타 과자류
122,녹차웨이퍼샌드,과자류,기타 과자류
123,모나카 선물세트(백색밤),과자류,기타 과자류
124,모나카 선물세트(분홍팥),과자류,기타 과자류
125,모나카 선물세트(갈색흑임자),과자류,기타 과자류
126,웨이퍼롤 바닐라,과자류,기타 과자류
127,웨이퍼롤 초콜릿,과자류,기타 과자류
128,마카롱,과자류,기타 과자류
129,카라멜 & 치즈 팝콘,과자류,스낵류
130,카라멜 팝콘,과자류,스낵류
